Month,Energy_Price
 2005 Jan ,78.56
 2005 Feb ,83.55
 2005 Mar ,97.74
 2005 Apr ,99.75
 2005 May ,113.54
 2005 Jun ,113.77
 2005 Jul ,102.78
 2005 Aug ,103.4
 2005 Sep ,147.25
 2005 Oct ,141.55
 2005 Nov ,118.44
 2005 Dec ,117.2
 2006 Jan ,109.74
 2006 Feb ,106.7
 2006 Mar ,124.29
 2006 Apr ,127.38
 2006 May ,154.97
 2006 Jun ,136.08
 2006 Jul ,153.87
 2006 Aug ,167.41
 2006 Sep ,130.25
 2006 Oct ,143.66
 2006 Nov ,117.33
 2006 Dec ,114.25
 2007 Jan ,123.87
 2007 Feb ,126.85
 2007 Mar ,124.6
 2007 Apr ,114.17
 2007 May ,109.83
 2007 Jun ,117.53
 2007 Jul ,124.91
 2007 Aug ,120.37
 2007 Sep ,126.78
 2007 Oct ,126.38
 2007 Nov ,139.6
 2007 Dec ,140.15
 2008 Jan ,158.09
 2008 Feb ,149.3
 2008 Mar ,146.97
 2008 Apr ,173.44
 2008 May ,202.66
 2008 Jun ,185.01
 2008 Jul ,195.04
 2008 Aug ,199.62
 2008 Sep ,193.2
 2008 Oct ,171.76
 2008 Nov ,103.62
 2008 Dec ,67.71
 2009 Jan ,73.98
 2009 Feb ,95.75
 2009 Mar ,87.18
 2009 Apr ,199.14
 2009 May ,167.41
 2009 Jun ,189.62
 2009 Jul ,141.35
 2009 Aug ,161.72
 2009 Sep ,173.18
 2009 Oct ,191.54
 2009 Nov ,142.68
 2009 Dec ,148.05
 2010 Jan ,171.35
 2010 Feb ,195.64
 2010 Mar ,207.35
 2010 Apr ,162.61
 2010 May ,185.27
 2010 Jun ,172.76
 2010 Jul ,147.34
 2010 Aug ,144.23
 2010 Sep ,151.66
 2010 Oct ,162.14
 2010 Nov ,175.06
 2010 Dec ,172.45
 2011 Jan ,156.74
 2011 Feb ,163.96
 2011 Mar ,186.95
 2011 Apr ,215.31
 2011 May ,278.59
 2011 Jun ,236.18
 2011 Jul ,263.4
 2011 Aug ,258.58
 2011 Sep ,230.19
 2011 Oct ,186.45
 2011 Nov ,210.62
 2011 Dec ,187.22
 2012 Jan ,210.48
 2012 Feb ,228.35
 2012 Mar ,243.35
 2012 Apr ,245.62
 2012 May ,266.14
 2012 Jun ,247.81
 2012 Jul ,210.96
 2012 Aug ,212.22
 2012 Sep ,199.28
 2012 Oct ,194.44
 2012 Nov ,218.67
 2012 Dec ,193.61
 2013 Jan ,191.62
 2013 Feb ,166.35
 2013 Mar ,166.2
 2013 Apr ,178.97
 2013 May ,173.83
 2013 Jun ,201.37
 2013 Jul ,172.74
 2013 Aug ,199.63
 2013 Sep ,163.29
 2013 Oct ,159.35
 2013 Nov ,158.19
 2013 Dec ,146.93
 2014 Jan ,138.69
 2014 Feb ,142.88
 2014 Mar ,136.03
 2014 Apr ,150.13
 2014 May ,132.84
 2014 Jun ,141.73
 2014 Jul ,155.74
 2014 Aug ,140.46
 2014 Sep ,138.03
 2014 Oct ,136.72
 2014 Nov ,135.34
 2014 Dec ,92.59
 2015 Jan ,90.62
 2015 Feb ,93.29
 2015 Mar ,81.72
 2015 Apr ,98.1
 2015 May ,103.18
 2015 Jun ,107.84
 2015 Jul ,207.03
 2015 Aug ,102.43
 2015 Sep ,81.49
 2015 Oct ,66.87
 2015 Nov ,56.84
 2015 Dec ,60.66
 2016 Jan ,74.89
 2016 Feb ,49.06
 2016 Mar ,44.81
 2016 Apr ,43.6
 2016 May ,55.54
 2016 Jun ,49.1
 2016 Jul ,62.94
 2016 Aug ,67.12
 2016 Sep ,77.72
 2016 Oct ,71.89
 2016 Nov ,72.99
 2016 Dec ,88.43
 2017 Jan ,84.56
 2017 Feb ,84.75
 2017 Mar ,76.42
 2017 Apr ,82.68
 2017 May ,82.5
 2017 Jun ,84.13
 2017 Jul ,79.21
 2017 Aug ,73.4
 2017 Sep ,74.77
 2017 Oct ,77.55
 2017 Nov ,83.82
 2017 Dec ,87.44
 2018 Jan ,86.1
 2018 Feb ,98.57
 2018 Mar ,104.31
 2018 Apr ,103.33
 2018 May ,112.56
 2018 Jun ,110.71
 2018 Jul ,108.06
 2018 Aug ,112.89
 2018 Sep ,117.33
 2018 Oct ,154.02
 2018 Nov ,114.21
 2018 Dec ,100.44
 2019 Jan ,112.57
 2019 Feb ,115.17
 2019 Mar ,113.54
 2019 Apr ,99.62
 2019 May ,93.28
 2019 Jun ,89.84
 2019 Jul ,112.72
 2019 Aug ,93.28
 2019 Sep ,95.97
 2019 Oct ,94.39
 2019 Nov ,88.79
 2019 Dec ,71.24
 2020 Jan ,84.15
 2020 Feb ,88.64
